user_id,lead_created_at,acquisition_channel,region,device_type,lead_score,company_size
U100000,01/17/2025 18:39,paid search,,Desktop,,1-10
U100001,2025-03-20 12:58:00,Direct,APAC,mobile ,60.0,11 - 50
U100002,2025-06-01 10:30:00,email,,desktop,72.0,201-1000
U100003,2025-05-29 11:07:00,paid search,EMEA,Desktop,42.0,11 - 50
U100004,2025-05-30 18:39:00,Partner,EMEA,Mobile,31.0,51-200
U100005,2025-04-02 13:02:00,Partner,LATAM,mobile ,84.0,1-10
U100006,2025-05-28 01:51:00,Social,North America,Tablet,60.0,51-200
U100007,03/31/2025 16:29,Referral,,Mobile,56.0,11 - 50
U100008,2025-04-09 04:27:00,email,North America,Desktop,59.0,51-200
U100009,2025-06-04 07:37:00,paid search,EMEA,Desktop,86.0,11-50
U100009,2025-02-26 02:39:00,Referral,APAC,Mobile,57.0,1-10
U100011,2025-06-12 06:59:00,Paid Search,LATAM,Tablet,66.0,
U100012,2025-03-20 08:39:00,Partner,LATAM,desktop,77.0,1-10
U100013,2025-02-02 19:07:00,Organic,North America,desktop,,201-1000
U100014,05/18/2025 14:55,Direct,North America,mobile ,97.0,11 - 50
U100015,2025-02-04 19:19:00,Direct,EMEA,Tablet,53.0,1000+
U100016,2025-02-25 03:17:00,email,EMEA,Mobile,55.0,201-1000
U100017,2025-03-14 22:41:00,Paid Search,,mobile ,74.0,11-50
U100018,2025-01-18 07:48:00,paid search,LATAM,Mobile,62.0,
U100019,2025-04-26 18:37:00,Email,North America,desktop,45.0,11-50
U100020,2025-04-18 16:30:00,email,APAC,Tablet,59.0,201-1000
U100021,06/22/2025 05:35,Organic,EMEA,Desktop,47.0,51-200
U100022,2025-04-28 23:00:00,Paid Search,,Desktop,73.0,1000+
U100023,2025-01-03 14:05:00,Paid Search,North America,Tablet,62.0,
U100024,2025-05-15 14:30:00,Email,,mobile ,39.0,1-10
U100025,2025-06-26 22:16:00,,APAC,Desktop,77.0,1-10
U100026,2025-01-07 06:47:00,paid search,APAC,Tablet,,1-10
U100027,2025-01-08 02:03:00,Partner,,Tablet,77.0,1000+
U100028,01/03/2025 18:31,Direct,LATAM,mobile ,70.0,201-1000
U100029,2025-05-31 18:02:00,Social,,Desktop,86.0,
U100030,2025-02-02 06:14:00,Partner,LATAM,mobile ,43.0,51-200
U100031,2025-01-02 08:18:00,Referral,EMEA,Tablet,55.0,201-1000
U100032,2025-02-04 10:18:00,Organic,APAC,Tablet,31.0,1-10
U100033,2025-04-25 19:26:00,Direct,APAC,Desktop,42.0,11-50
U100034,2025-06-23 11:52:00,Organic,,Mobile,62.0,201-1000
U100035,06/27/2025 01:47,email,APAC,Desktop,80.0,
U100036,2025-04-29 18:00:00,Direct,EMEA,Desktop,34.0,201-1000
U100037,2025-06-05 21:14:00,Organic,EMEA,desktop,84.0,51-200
U100038,2025-06-21 12:15:00,Organic,APAC,Mobile,66.0,11-50
U100039,2025-03-03 03:06:00,Direct,,desktop,,
U100040,2025-06-22 01:33:00,paid search,,Desktop,64.0,51-200
U100041,2025-06-04 11:56:00,Referral,EMEA,desktop,48.0,11-50
U100042,04/28/2025 10:12,Social,LATAM,Tablet,68.0,
U100043,2025-06-14 11:51:00,Organic,North America,mobile ,84.0,1000+
U100044,2025-02-03 01:21:00,Paid Search,APAC,mobile ,41.0,1-10
U100045,2025-05-10 01:26:00,Social,,Tablet,67.0,51-200
U100046,2025-05-10 23:08:00,email,LATAM,Tablet,61.0,
U100047,2025-01-01 04:25:00,paid search,EMEA,Mobile,51.0,11-50
U100048,2025-05-14 19:43:00,email,EMEA,desktop,56.0,1000+
U100049,04/19/2025 11:12,paid search,North America,Mobile,33.0,201-1000
U100050,2025-03-14 13:31:00,paid search,EMEA,Mobile,58.0,51-200
U100051,2025-03-11 06:10:00,Organic,EMEA,mobile ,44.0,
U100052,2025-03-01 12:16:00,Social,LATAM,desktop,,11-50
U100053,2025-06-17 08:03:00,Direct,North America,Tablet,98.0,201-1000
U100054,2025-05-24 19:12:00,Email,EMEA,Tablet,60.0,
U100055,2025-01-28 18:39:00,Direct,APAC,Mobile,73.0,11 - 50
U100056,05/13/2025 17:23,Referral,EMEA,Mobile,64.0,11 - 50
U100057,2025-04-02 07:40:00,Paid Search,,Mobile,51.0,51-200
U100058,2025-02-05 23:32:00,Referral,APAC,Desktop,20.0,201-1000
U100059,2025-05-15 06:18:00,Email,EMEA,Mobile,76.0,11-50
U100060,2025-04-23 10:41:00,paid search,EMEA,Mobile,66.0,11-50
U100061,2025-03-21 22:58:00,paid search,,mobile ,35.0,11-50
U100062,2025-01-19 11:37:00,Social,LATAM,Tablet,84.0,1000+
U100063,05/06/2025 18:36,Organic,APAC,Desktop,53.0,51-200
U100064,2025-01-21 22:09:00,paid search,EMEA,Mobile,81.0,11 - 50
U100065,2025-05-08 19:34:00,Direct,LATAM,desktop,,
U100066,2025-03-13 07:14:00,Partner,EMEA,Desktop,53.0,
U100067,2025-05-15 19:20:00,Email,APAC,mobile ,53.0,11-50
U100068,2025-01-31 13:32:00,email,North America,Desktop,45.0,1000+
U100069,2025-02-16 03:10:00,Paid Search,EMEA,Mobile,76.0,1000+
U100070,03/12/2025 08:29,Organic,North America,desktop,55.0,
U100071,2025-02-08 00:12:00,email,LATAM,Desktop,38.0,51-200
U100072,2025-01-25 18:06:00,email,North America,mobile ,25.0,51-200
U100073,2025-05-16 07:29:00,Paid Search,North America,Tablet,59.0,11 - 50
U100074,2025-01-19 08:19:00,Direct,APAC,mobile ,71.0,11 - 50
U100075,2025-01-28 20:14:00,Direct,EMEA,Desktop,72.0,11-50
